"","name","gender","eye_color","race","hair_color","height","publisher","alignment","weight","imc","categoria_imc","agility","accelerated_healing","durability","stealth","energy_absorption","flight","marksmanship","weapons_master","longevity","intelligence","super_strength","telepathy","energy_blasts","stamina","super_speed","teleportation","enhanced_senses","immortality","reflexes","invulnerability","force_fields","enhanced_hearing","n_poderes","uncommon_power","grupo"
"162","Curse","Male",NA,NA,NA,NA,"Image Comics","bad",NA,NA,NA,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",3,"TRUE","fraco"
"163","Cy-Gor","Male",NA,NA,NA,NA,"Image Comics","bad",NA,NA,NA,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",7,"TRUE","fraco"
"164","Cyborg","Male","brown","Cyborg","Black",198,"DC Comics","good",173,44.1,"Obesidade III","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE",12,"TRUE","forte"
"165","Cyborg Superman","Male","blue","Cyborg","Black",NA,"DC Comics","bad",NA,NA,NA,"FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE",19,"TRUE","forte"
"166","Cyclops","Male","brown","Mutant","Brown",191,"Marvel Comics","good",88,24.1,"Peso normal","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",7,"TRUE","fraco"
"167","Dagger","Female","blue",NA,"Blond",165,"Marvel Comics","good",52,19.1,"Peso normal","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",3,"TRUE","fraco"
"168","Daphne Powell","Female",NA,NA,NA,NA,"ABC Studios","good",NA,NA,NA,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",1,"FALSE","fraco"
"169","Daredevil","Male","blue","Human","Red",183,"Marvel Comics","good",90,26.9,"Sobrepeso","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE",14,"TRUE","intermediario"
"170","Darkhawk","Male","brown","Human","Brown",185,"Marvel Comics","good",81,23.7,"Peso normal","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",8,"TRUE","fraco"
"171","Darkman","Male",NA,NA,NA,NA,"Universal Studios","good",NA,NA,NA,"FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",3,"FALSE","fraco"
"172","Darkseid","Male","red","New God","No Hair",189.5,"DC Comics","bad",106,30.225,"Obesidade III","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE",12,"TRUE","forte"
"173","Darkstar","Female","brown","Mutant","Blond",168,"Marvel Comics","good",56,19.8,"Peso normal","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",5,"TRUE","fraco"
"174","Darth Maul","Male","yellow / red","Dathomirian Zabrak",NA,170,"George Lucas","bad",NA,NA,NA,"TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",14,"TRUE","intermediario"
"175","Darth Vader","Male","yellow","Cyborg","No Hair",198,"George Lucas","bad",135,34.4,"Obesidade I","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE",12,"TRUE","forte"
"176","Dash","Male","blue","Human","Blond",175,"Dark Horse Comics","good",27,18.1,"Abaixo do peso","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",4,"FALSE","intermediario"
"177","Data","Male","yellow","Android","Brown",NA,"Star Trek","good",NA,NA,NA,"TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE",16,"TRUE","forte"
"178","Dazzler","Female","blue","Mutant","Blond",173,"Marvel Comics","good",52,17.4,"Abaixo do peso","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",15,"TRUE","intermediario"
"179","Deadman","Male","blue","Human","Black",183,"DC Comics","good",90,26.9,"Sobrepeso","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE",12,"TRUE","forte"
"180","Deadpool","Male","brown","Mutant","No Hair",188,"Marvel Comics","neutral",95,26.9,"Sobrepeso","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE",16,"TRUE","intermediario"
"181","Deadshot","Male","brown","Human","Brown",185,"DC Comics","bad",91,26.6,"Sobrepeso","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",4,"FALSE","intermediario"
"182","Deathlok","Male","brown","Cyborg","Grey",193,"Marvel Comics","good",106,30.225,"Obesidade III","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",11,"TRUE","forte"
"183","Deathstroke","Male","blue","Human","White",193,"DC Comics","neutral",101,27.1,"Sobrepeso","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE",11,"TRUE","forte"
"184","Demogoblin","Male","red","Demon","No Hair",185,"Marvel Comics","bad",95,27.8,"Sobrepeso","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",8,"TRUE","forte"
"185","Destroyer","Male",NA,NA,NA,188,"Marvel Comics","bad",106,30.225,"Obesidade III","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",5,"TRUE","fraco"
"186","Diamondback","Male","brown","Human","Black",193,"Marvel Comics","bad",90,24.2,"Peso normal","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",2,"FALSE","fraco"
"187","DL Hawkins","Male",NA,NA,NA,NA,"NBC - Heroes","good",NA,NA,NA,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",1,"TRUE","fraco"
"188","Doc Samson","Male","blue","Human / Radiation","Green",198,"Marvel Comics","good",171,43.6,"Obesidade III","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",3,"FALSE","fraco"
"189","Doctor Doom","Male","brown","Human","Brown",201,"Marvel Comics","bad",106,30.225,"Obesidade III","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",15,"TRUE","forte"
"190","Doctor Doom II","Male","brown",NA,"Brown",201,"Marvel Comics","bad",132,32.7,"Obesidade I","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",5,"TRUE","fraco"
"191","Doctor Fate","Male","blue","Human","Blond",188,"DC Comics","good",89,25.2,"Sobrepeso","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",22,"TRUE","forte"
"192","Doctor Octopus","Male","brown","Human","Brown",175,"Marvel Comics","bad",110,35.9,"Obesidade II","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",10,"TRUE","forte"
"193","Doctor Strange","Male","grey","Human","Black",188,"Marvel Comics","good",81,22.9,"Peso normal","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",20,"TRUE","forte"
"194","Domino","Female","blue","Human","Black",173,"Marvel Comics","good",54,18,"Abaixo do peso","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",4,"TRUE","fraco"
"195","Donatello","Male","green","Mutant","No Hair",NA,"IDW Publishing","good",NA,NA,NA,"TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",9,"TRUE","intermediario"
"196","Donna Troy","Female","blue","Amazon","Black",175,"DC Comics","good",63,20.6,"Peso normal","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",3,"FALSE","fraco"
"197","Doomsday","Male","red","Alien","White",189.5,"DC Comics","bad",106,30.225,"Obesidade III","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE",20,"TRUE","forte"
"198","Doppelganger","Male","white",NA,"No Hair",196,"Marvel Comics","bad",104,27.1,"Sobrepeso","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",9,"TRUE","forte"
"199","Dormammu","Male","yellow",NA,"No Hair",185,"Marvel Comics","bad",NA,NA,NA,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE",13,"TRUE","forte"
"200","Dr Manhattan","Male","white","Human / Cosmic","No Hair",NA,"DC Comics","good",NA,NA,NA,"FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE",12,"TRUE","forte"
"201","Drax the Destroyer","Male","red","Human / Altered","No Hair",193,"Marvel Comics","good",106,30.225,"Obesidade III","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",11,"TRUE","forte"
"202","Ego",NA,NA,NA,NA,NA,"Marvel Comics","bad",NA,NA,NA,"FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",3,"FALSE","fraco"
"203","Elastigirl","Female","brown","Human","Brown",168,"Dark Horse Comics","good",56,19.8,"Peso normal","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",7,"TRUE","fraco"
"204","Electro","Male","blue","Human","Auburn",180,"Marvel Comics","bad",74,22.8,"Peso normal","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",3,"TRUE","fraco"
"205","Elektra","Female","blue","Human","Black",175,"Marvel Comics","good",59,19.3,"Peso normal","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",10,"TRUE","intermediario"
"206","Elle Bishop","Female","blue",NA,"Blond",NA,"NBC - Heroes","bad",NA,NA,NA,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",1,"TRUE","fraco"
"207","Elongated Man","Male","blue",NA,"Red",185,"DC Comics","good",80,23.4,"Peso normal","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",5,"TRUE","fraco"
"208","Emma Frost","Female","blue",NA,"Blond",178,"Marvel Comics","good",65,20.5,"Peso normal","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",14,"TRUE","forte"
"209","Enchantress","Female","blue","Human","Blond",168,"DC Comics","good",57,20.2,"Peso normal","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE",14,"TRUE","forte"
"210","Energy","Female",NA,NA,NA,NA,"HarperCollins","good",NA,NA,NA,"FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",3,"TRUE","fraco"
"211","Ethan Hunt","Male","brown","Human","Brown",168,NA,"good",NA,NA,NA,"TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",8,"FALSE","intermediario"
"212","Etrigan","Male","red","Demon","No Hair",193,"DC Comics","neutral",106,30.225,"Obesidade III","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE",10,"TRUE","forte"
"213","Evil Deadpool","Male","white","Mutant","Red",188,"Marvel Comics","bad",95,26.9,"Sobrepeso","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE",16,"TRUE","intermediario"
"214","Evilhawk","Male","red","Alien","Black",191,"Marvel Comics","bad",106,29.1,"Sobrepeso","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",10,"TRUE","forte"
"215","Exodus","Male","blue","Mutant","Black",183,"Marvel Comics","bad",88,26.3,"Sobrepeso","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",12,"TRUE","fraco"
"216","Fabian Cortez",NA,"blue",NA,"Brown",196,"Marvel Comics","bad",96,25,"Sobrepeso","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",1,"TRUE","fraco"
"217","Falcon","Male","brown","Human","Black",188,"Marvel Comics","good",108,30.6,"Obesidade I","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",4,"TRUE","fraco"
"218","Fallen One II","Male","black",NA,"Blue",NA,"Marvel Comics","bad",NA,NA,NA,"FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE",18,"TRUE","forte"
"219","Faora","Female",NA,"Kryptonian",NA,NA,"DC Comics","bad",NA,NA,NA,"FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE",19,"TRUE","forte"
"220","Feral",NA,"yellow (without irises)",NA,"Orange / White",175,"Marvel Comics","good",50,16.3,"Abaixo do peso","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE",9,"TRUE","forte"
"221","Fighting Spirit","Female",NA,NA,"Red",NA,"DC Comics","good",NA,NA,NA,"FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",3,"FALSE","fraco"
"222","Fin Fang Foom","Male","red","Kakarantharaian","No Hair",189.5,"Marvel Comics","good",18,20.6,"Abaixo do peso","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",10,"TRUE","forte"
"223","Firebird","Female","brown",NA,"Black",165,"Marvel Comics","good",56,20.6,"Peso normal","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE",7,"TRUE","fraco"
"224","Firelord",NA,"white",NA,"Yellow",193,"Marvel Comics","good",99,26.6,"Sobrepeso","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",6,"TRUE","fraco"
"225","Firestar","Female","green","Mutant","Red",173,"Marvel Comics","good",56,18.7,"Peso normal","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",6,"TRUE","fraco"
"226","Firestorm","Male","brown",NA,"Black",NA,"DC Comics","good",NA,NA,NA,"FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",22,"TRUE","forte"
"227","Flash","Male","blue","Human","Brown / White",180,"DC Comics","good",81,25,"Sobrepeso","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE",11,"TRUE","forte"
"228","Flash Gordon","Male",NA,NA,NA,NA,NA,"good",NA,NA,NA,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",1,"FALSE","fraco"
"229","Flash II","Male","blue","Human","Blond",183,"DC Comics","good",88,26.3,"Sobrepeso","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE",15,"TRUE","forte"
"230","Flash III","Male",NA,"Human",NA,183,"DC Comics","good",86,25.7,"Sobrepeso","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE",14,"TRUE","forte"
"231","Flash IV","Male","yellow","Human","Auburn",157,"DC Comics","good",52,21.1,"Peso normal","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",7,"TRUE","fraco"
"232","Forge",NA,"brown",NA,"Black",183,"Marvel Comics","good",81,24.2,"Peso normal","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",2,"TRUE","fraco"
"233","Franklin Richards","Male","blue","Mutant","Blond",175,"Marvel Comics","good",45,22.3,"Peso normal","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE",12,"TRUE","forte"
"234","Frenzy","Female","brown",NA,"Black",211,"Marvel Comics","bad",104,23.4,"Peso normal","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",5,"TRUE","fraco"
"235","Frigga","Female","blue",NA,"White",180,"Marvel Comics","good",167,30.225,"Obesidade III","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",2,"TRUE","fraco"
"236","Galactus","Male","black","Cosmic Entity","Black",189.5,"Marvel Comics","neutral",16,20.6,"Abaixo do peso","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE",12,"TRUE","forte"
"237","Gambit","Male","red","Mutant","Brown",185,"Marvel Comics","good",81,23.7,"Peso normal","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",5,"TRUE","fraco"
"238","Gamora","Female","yellow","Zen-Whoberian","Black",183,"Marvel Comics","good",77,23,"Peso normal","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE",13,"TRUE","forte"
"239","Garbage Man","Male",NA,"Mutant",NA,NA,"DC Comics","good",NA,NA,NA,"FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",1,"FALSE","fraco"
"240","Gary Bell","Male",NA,"Alpha",NA,NA,"SyFy","good",NA,NA,NA,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",2,"FALSE","fraco"
"241","General Zod","Male","black","Kryptonian","Black",NA,"DC Comics","bad",NA,NA,NA,"FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE",19,"TRUE","forte"
